"Estado","Sexo","Edad","Color","Años de estudio","Ingresos","Altura"
"Piaui","Masculino","50","Blanco","3","760","1.58"
"Acres","Masculino","59","Pardo","0","900","1.9"
"Sao Paulo","Femenino","28","Blanco","14","3500","1.75"
"Mato Grosso do Sul","Femenino","31","Pardo","12","1300","1.68"
"Minas Gerais","Masculino","57","Blanco","3","500","1.75"
"Para","Femenino","41","Pardo","8","400","1.59"
"Rio Grande do Norte","Femenino","27","Pardo","11","845","1.83"
"Distrito Federal","Femenino","49","Blanco","15","2700","1.63"
"Acres","Masculino","54","Blanco","15","2000","1.72"
"Pernambuco","Masculino","36","Negro","0","250","1.73"
" Goias","Masculino","32","Blanco","11","788","1.7"
"Minas Gerais","Masculino","64","Blanco","6","500","1.74"
"Tocantins","Masculino","51","Blanco","15","15000","1.77"
"Minas Gerais","Femenino","36","Pardo","11","788","1.7"
"Para","Masculino","61","Pardo","1","120","1.65"
"Ceara","Masculino","48","Blanco","8","1000","1.72"
"Rondonia","Femenino","66","Blanco","0","1600","1.83"
"Rio Grande do Sul","Masculino","48","Blanco","11","5000","1.73"
"Minas Gerais","Femenino","63","Pardo","4","788","1.75"
"Parana","Masculino","60","Blanco","11","5000","1.49"
"Ceara","Masculino","48","Pardo","11","3600","1.75"
"Minas Gerais","Masculino","53","Pardo","6","2000","1.67"
"Sao Paulo","Masculino","53","Blanco","15","5900","1.72"
"Ceara","Femenino","64","Pardo","11","788","1.75"
"Piaui","Masculino","62","Pardo","4","150","1.6"
"Rio Grande do Sul","Masculino","30","Negro","8","800","1.66"
"Pernambuco","Masculino","57","Blanco","15","1000","1.71"
"Minas Gerais","Masculino","22","Blanco","5","788","1.68"
"Rio Grande do Sul","Femenino","29","Blanco","11","1100","1.86"
"Ceara","Femenino","37","Pardo","11","788","1.73"
"Rio Grande do Sul","Masculino","44","Blanco","8","2300","1.75"
"Rio de Janeiro","Masculino","54","Negro","11","1800","1.69"
"Rio Grande do Sul","Masculino","39","Negro","15","10000","1.63"
"Espirito Santo","Masculino","59","Pardo","15","6000","1.8"
"Minas Gerais","Femenino","31","Pardo","11","1500","1.63"
"Rio de Janeiro","Femenino","43","Negro","11","1800","1.77"
"Sao Paulo","Masculino","47","Blanco","0","800","1.6"
"Rio Grande do Sul","Masculino","49","Blanco","15","4000","1.75"
"Rio Grande do Sul","Masculino","45","Blanco","6","2000","1.65"
"Amazonas","Femenino","45","Pardo","8","600","1.91"
"Para","Femenino","64","Pardo","15","8000","1.72"
"Parana","Masculino","57","Blanco","10","1000","1.77"
"Minas Gerais","Masculino","38","Pardo","6","1100","1.64"
"Rio Grande do Sul","Masculino","41","Pardo","6","1500","1.73"
"Distrito Federal","Femenino","35","Blanco","15","2000","1.65"
"Rio Grande do Sul","Masculino","45","Blanco","11","4000","1.7"
"Rio de Janeiro","Masculino","75","Blanco","15","80000","1.71"
"Para","Masculino","31","Pardo","15","2000","1.73"
"Mato Grosso","Masculino","43","Pardo","15","1900","1.67"
"Rio de Janeiro","Femenino","57","Blanco","15","4500","1.65"
" Goias","Femenino","48","Pardo","15","2600","1.65"
"Rio Grande do Sul","Masculino","32","Blanco","11","2000","1.65"
"Tocantins","Masculino","55","Pardo","3","2500","1.69"
"Amazonas","Masculino","38","Pardo","11","1000","1.69"
"Sao Paulo","Masculino","26","Blanco","0","1200","1.69"
"Minas Gerais","Femenino","31","Blanco","13","1800","1.69"
"Rio Grande do Norte","Masculino","46","Blanco","8","788","1.71"
"Alagoas","Masculino","57","Pardo","6","3500","1.71"
"Rio Grande do Sul","Femenino","57","Blanco","2","200","1.73"
"Bahia","Masculino","44","Negro","3","600","1.63"
"Sao Paulo","Femenino","52","Blanco","8","1000","1.77"
"Ceara","Femenino","48","Pardo","8","400","1.7"
"Rio de Janeiro","Femenino","33","Blanco","15","10000","1.7"
"Bahia","Masculino","54","Pardo","0","200","1.63"
"Minas Gerais","Masculino","35","Blanco","15","1800","1.77"
"Para","Masculino","46","Blanco","3","0","1.71"
"Pernambuco","Masculino","57","Pardo","0","1500","1.75"
"Rio de Janeiro","Masculino","38","Pardo","0","1200","1.75"
"Minas Gerais","Masculino","41","Pardo","15","7000","1.62"
"Bahia","Masculino","30","Negro","13","400","1.76"
"Acres","Masculino","56","Pardo","8","1000","1.78"
"Parana","Masculino","21","Pardo","11","1400","1.65"
"Rio de Janeiro","Masculino","45","Blanco","11","6000","1.68"
"Para","Femenino","36","Negro","5","1000","1.62"
"Rio de Janeiro","Masculino","35","Negro","3","788","1.67"
"Pernambuco","Masculino","40","Pardo","6","1500","1.65"
"Piaui","Femenino","52","Pardo","0","788","1.73"
"Roraima","Masculino","46","Pardo","15","20000","1.69"
"Pernambuco","Masculino","43","Pardo","11","1200","1.58"
"Maranhao","Masculino","36","Blanco","15","1500","1.64"
"Sao Paulo","Masculino","55","Blanco","11","2400","1.74"
"Rondonia","Femenino","34","Pardo","11","3000","1.64"
"Para","Masculino","55","Pardo","2","1800","1.63"
"Parana","Femenino","61","Blanco","0","600","1.68"
"Rio Grande do Sul","Femenino","54","Blanco","15","1200","1.66"
"Para","Masculino","43","Pardo","4","3400","1.66"
"Sao Paulo","Masculino","67","Pardo","0","300","1.44"
"Rio de Janeiro","Masculino","61","Negro","15","3900","1.78"
"Rio Grande do Norte","Masculino","31","Pardo","11","960","1.72"
"Paraiba","Femenino","36","Pardo","14","1100","1.77"
"Parana","Femenino","25","Blanco","8","1320","1.8"
"Sao Paulo","Masculino","34","Blanco","15","5000","1.73"
"Minas Gerais","Femenino","24","Blanco","11","3200","1.78"
"Parana","Masculino","51","Pardo","4","1200","1.71"
"Bahia","Masculino","31","Negro","11","1200","1.61"
"Parana","Masculino","46","Blanco","10","1000","1.62"
"Pernambuco","Femenino","48","Blanco","13","1000","1.63"
"Parana","Masculino","26","Pardo","7","1100","1.67"
"Distrito Federal","Masculino","41","Blanco","11","2000","1.72"
"Sao Paulo","Femenino","58","Blanco","0","788","1.67"
"Para","Femenino","38","Pardo","11","1000","1.77"
"Bahia","Femenino","32","Negro","11","788","1.6"
"Minas Gerais","Masculino","34","Negro","11","3000","1.72"
"Espirito Santo","Masculino","55","Pardo","11","1000","1.57"
"Minas Gerais","Masculino","45","Pardo","7","400","1.73"
"Acres","Masculino","32","Pardo","11","2700","1.79"
"Minas Gerais","Masculino","52","Pardo","4","788","1.67"
"Para","Masculino","21","Pardo","5","800","1.79"
"Parana","Femenino","34","Blanco","11","1100","1.71"
"Parana","Femenino","55","Blanco","7","200","1.69"
"Pernambuco","Masculino","57","Pardo","10","2500","1.68"
"Parana","Masculino","46","Blanco","11","1500","1.79"
"Parana","Masculino","42","Pardo","12","3500","1.74"
" Goias","Masculino","38","Blanco","11","1000","1.67"
"Rondonia","Masculino","45","Negro","10","1100","1.67"
"Amazonas","Masculino","31","Pardo","4","400","1.76"
"Distrito Federal","Masculino","54","Blanco","15","10000","1.67"
"Acres","Masculino","23","Pardo","11","1000","1.82"
"Parana","Femenino","42","Blanco","8","850","1.71"
"Distrito Federal","Masculino","54","Blanco","15","18000","1.72"
"Sao Paulo","Femenino","36","Negro","11","5000","1.74"
"Rio de Janeiro","Masculino","51","Blanco","11","1850","1.79"
"Espirito Santo","Femenino","51","Blanco","15","5000","1.63"
" Goias","Femenino","47","Blanco","15","6000","1.75"
"Pernambuco","Masculino","22","Blanco","6","500","1.65"
"Minas Gerais","Masculino","37","Pardo","2","788","1.73"
"Minas Gerais","Masculino","53","Pardo","4","1500","1.58"
"Sao Paulo","Masculino","28","Blanco","15","800","1.78"
"Sergipe","Masculino","35","Blanco","0","1140","1.7"
"Ceara","Masculino","22","Pardo","8","956","1.66"
"Minas Gerais","Masculino","43","Blanco","4","788","1.73"
"Rio Grande do Sul","Femenino","26","Blanco","15","3200","1.74"
"Mato Grosso","Femenino","34","Pardo","8","550","1.62"
" Goias","Masculino","47","Pardo","5","2500","1.72"
"Minas Gerais","Femenino","46","Blanco","15","3000","1.67"
"Rio Grande do Sul","Masculino","37","Blanco","11","2000","1.68"
"Tocantins","Femenino","45","Blanco","11","2500","1.72"
"Bahia","Masculino","48","Negro","4","450","1.75"
"Mato Grosso do Sul","Masculino","33","Pardo","11","600","1.67"
"Maranhao","Masculino","21","Indigena","0","0","1.62"
"Parana","Femenino","46","Blanco","15","2000","1.66"
"Pernambuco","Femenino","36","Pardo","15","6000","1.68"
"Minas Gerais","Masculino","54","Negro","8","2000","1.68"
"Alagoas","Femenino","29","Pardo","7","0","1.7"
"Mato Grosso do Sul","Masculino","37","Pardo","4","1100","1.88"
"Minas Gerais","Masculino","40","Blanco","11","1650","1.76"
"Bahia","Masculino","18","Blanco","9","1100","1.64"
"Para","Femenino","27","Pardo","6","788","1.84"
"Para","Femenino","64","Amarillo","15","0","1.58"
"Tocantins","Masculino","46","Blanco","11","0","1.8"
"Rio Grande do Sul","Masculino","29","Blanco","15","1800","1.68"
"Maranhao","Masculino","67","Blanco","11","2500","1.95"
"Ceara","Femenino","42","Pardo","11","600","1.69"
"Roraima","Femenino","32","Pardo","15","1200","1.66"
"Parana","Masculino","19","Pardo","6","788","1.61"
"Rio Grande do Sul","Femenino","61","Blanco","0","850","1.72"
"Minas Gerais","Masculino","34","Pardo","11","4800","1.79"
"Sao Paulo","Masculino","34","Blanco","4","1400","1.55"
"Minas Gerais","Femenino","46","Negro","10","400","1.64"
"Bahia","Masculino","40","Pardo","5","788","1.7"
"Mato Grosso","Masculino","55","Pardo","0","500","1.7"
"Rio Grande do Sul","Masculino","71","Blanco","5","0","1.75"
"Maranhao","Masculino","42","Pardo","5","400","1.69"
"Parana","Femenino","44","Blanco","11","1500","1.73"
"Bahia","Masculino","48","Negro","3","1500","1.86"
"Pernambuco","Femenino","46","Pardo","0","788","1.71"
"Santa Catarina","Masculino","51","Blanco","4","400","1.68"
"Mato Grosso do Sul","Masculino","55","Blanco","5","1300","1.74"
"Minas Gerais","Masculino","31","Blanco","11","1100","1.65"
"Amazonas","Masculino","45","Negro","3","500","1.74"
"Parana","Femenino","46","Blanco","9","1500","1.83"
"Amazonas","Masculino","45","Blanco","7","788","1.75"
"Rio de Janeiro","Femenino","46","Blanco","7","1800","1.66"
"Para","Masculino","52","Pardo","11","1500","1.71"
"Parana","Femenino","51","Blanco","8","1500","1.56"
"Pernambuco","Femenino","57","Pardo","11","700","1.66"
" Goias","Masculino","28","Blanco","11","1500","1.75"
"Rio de Janeiro","Masculino","43","Negro","15","900","1.7"
"Bahia","Masculino","57","Negro","0","0","1.77"
"Pernambuco","Femenino","42","Negro","15","834","1.61"
"Sao Paulo","Masculino","36","Pardo","11","4200","1.61"
"Para","Femenino","50","Pardo","2","1200","1.67"
"Parana","Masculino","40","Blanco","15","20000","1.81"
"Amazonas","Masculino","37","Pardo","11","1200","1.76"
"Bahia","Masculino","23","Negro","8","240","1.74"
"Para","Masculino","50","Pardo","15","400","1.61"
"Rondonia","Femenino","32","Pardo","5","200","1.61"
"Para","Femenino","42","Pardo","1","200","1.81"
"Acres","Femenino","45","Pardo","11","900","1.67"
"Para","Masculino","36","Blanco","12","1200","1.61"
"Pernambuco","Masculino","50","Negro","13","600","1.67"
"Sao Paulo","Masculino","30","Blanco","15","3000","1.72"
"Pernambuco","Masculino","55","Blanco","4","300","1.77"
"Rondonia","Masculino","64","Pardo","3","1000","1.72"
"Rio Grande do Sul","Masculino","45","Blanco","10","2514","1.5"
"Santa Catarina","Masculino","26","Blanco","9","1460","1.7"
"Parana","Masculino","41","Blanco","3","2389","1.67"
"Mato Grosso","Femenino","27","Pardo","10","800","1.57"
"Mato Grosso do Sul","Masculino","57","Blanco","11","3000","1.67"
"Rio Grande do Sul","Masculino","41","Pardo","4","300","1.7"
"Pernambuco","Masculino","74","Pardo","0","0","1.77"
"Ceara","Femenino","63","Blanco","10","900","1.78"
"Sao Paulo","Femenino","40","Pardo","11","1700","1.72"
"Mato Grosso","Femenino","40","Negro","15","1500","1.53"
"Pernambuco","Femenino","57","Pardo","11","900","1.82"
"Paraiba","Femenino","50","Blanco","15","2000","1.66"
"Minas Gerais","Masculino","45","Pardo","4","0","1.63"
"Rio Grande do Sul","Masculino","28","Blanco","15","6000","1.67"
" Goias","Masculino","63","Pardo","10","1800","1.78"
"Maranhao","Masculino","44","Pardo","5","1200","1.77"
"Rio de Janeiro","Femenino","39","Blanco","15","2000","1.74"
"Bahia","Masculino","55","Pardo","0","1500","1.72"
"Para","Femenino","45","Pardo","5","600","1.72"
"Sao Paulo","Masculino","62","Blanco","8","1500","1.64"
"Parana","Masculino","43","Blanco","0","3000","1.62"
"Bahia","Masculino","38","Negro","11","1500","1.72"
"Minas Gerais","Masculino","51","Pardo","6","3500","1.81"
"Sao Paulo","Femenino","56","Pardo","0","400","1.71"
"Tocantins","Femenino","50","Pardo","1","200","1.96"
"Para","Femenino","43","Pardo","7","1000","1.78"
"Alagoas","Masculino","33","Pardo","15","5000","1.85"
" Goias","Masculino","36","Blanco","5","1400","1.8"
"Rio Grande do Sul","Masculino","40","Blanco","5","1200","1.71"
"Rio de Janeiro","Masculino","27","Pardo","11","1300","1.71"
"Para","Masculino","29","Pardo","3","1400","1.76"
"Piaui","Masculino","43","Pardo","3","150","1.89"
"Parana","Masculino","18","Pardo","10","1200","1.6"
"Maranhao","Femenino","30","Negro","11","0","1.8"
"Rio de Janeiro","Masculino","32","Blanco","14","10500","1.67"
"Minas Gerais","Masculino","27","Negro","11","240","1.76"
"Sergipe","Femenino","48","Blanco","11","160","1.78"
"Pernambuco","Masculino","32","Blanco","5","1000","1.77"
"Sao Paulo","Masculino","26","Blanco","0","1100","1.77"
" Goias","Masculino","31","Pardo","11","1300","1.63"
"Rio Grande do Sul","Masculino","59","Blanco","15","5000","1.64"
"Rio de Janeiro","Masculino","41","Blanco","11","3000","1.64"
"Maranhao","Masculino","59","Negro","0","600","1.86"
"Alagoas","Masculino","51","Blanco","11","5000","1.76"
"Pernambuco","Masculino","49","Negro","15","1200","1.8"
"Distrito Federal","Femenino","43","Blanco","1","1500","1.7"
"Parana","Masculino","62","Blanco","15","5000","1.6"
"Rio de Janeiro","Masculino","55","Negro","5","1900","1.76"
"Minas Gerais","Masculino","46","Blanco","8","800","1.67"
"Amazonas","Masculino","49","Pardo","8","700","1.77"
"Minas Gerais","Masculino","49","Blanco","8","3500","1.67"
"Espirito Santo","Masculino","47","Pardo","4","1500","1.69"
"Rio Grande do Sul","Masculino","41","Blanco","12","1200","1.7"
"Amazonas","Masculino","51","Pardo","3","400","1.64"
"Distrito Federal","Masculino","55","Blanco","10","3200","1.64"
"Espirito Santo","Masculino","51","Negro","11","788","1.72"
"Minas Gerais","Masculino","49","Blanco","6","1000","1.8"
"Bahia","Masculino","51","Negro","15","1000","1.87"
"Acres","Masculino","25","Pardo","15","2000","1.92"
"Parana","Femenino","35","Pardo","11","1212","1.87"
"Distrito Federal","Masculino","54","Pardo","11","7000","1.64"
"Bahia","Femenino","45","Pardo","0","788","1.61"
"Pernambuco","Masculino","40","Negro","0","788","1.55"
"Paraiba","Masculino","61","Blanco","0","100","1.72"
"Tocantins","Masculino","43","Negro","9","788","1.66"
"Para","Femenino","63","Pardo","0","500","1.72"
"Rio Grande do Sul","Masculino","45","Blanco","3","788","1.76"
"Minas Gerais","Masculino","46","Pardo","2","500","1.88"
"Minas Gerais","Masculino","49","Pardo","0","1320","1.66"
"Mato Grosso","Masculino","46","Blanco","8","1500","1.51"
"Para","Masculino","64","Pardo","6","1050","1.74"
"Acres","Femenino","42","Blanco","15","2500","1.66"
"Bahia","Masculino","34","Pardo","5","600","1.68"
"Pernambuco","Masculino","46","Pardo","15","1800","1.62"
"Pernambuco","Masculino","26","Blanco","11","788","1.56"
" Goias","Masculino","43","Blanco","6","4000","1.55"
"Minas Gerais","Masculino","34","Blanco","15","2000","1.53"
"Para","Femenino","66","Pardo","8","2900","1.73"
"Minas Gerais","Femenino","30","Blanco","15","6500","1.76"
"Mato Grosso","Masculino","57","Blanco","7","800","1.53"
"Minas Gerais","Femenino","64","Pardo","8","1200","1.71"
"Sao Paulo","Femenino","50","Pardo","7","180","1.72"
"Rio Grande do Norte","Masculino","33","Negro","1","820","1.67"
"Parana","Masculino","58","Blanco","2","500","1.77"
"Distrito Federal","Femenino","49","Pardo","8","788","1.64"
"Maranhao","Femenino","61","Pardo","0","140","1.81"
"Pernambuco","Masculino","27","Pardo","4","1000","1.7"
"Pernambuco","Masculino","48","Negro","11","800","1.86"
"Para","Masculino","36","Pardo","11","600","1.82"
"Minas Gerais","Femenino","47","Blanco","4","788","1.75"
"Espirito Santo","Masculino","52","Pardo","5","700","1.68"
"Minas Gerais","Masculino","43","Blanco","4","1250","1.72"
"Para","Masculino","38","Pardo","7","800","1.75"
"Maranhao","Femenino","30","Blanco","11","150","1.67"
"Rio Grande do Norte","Masculino","56","Pardo","0","500","1.74"
"Bahia","Masculino","36","Pardo","9","1000","1.66"
"Rio Grande do Sul","Masculino","63","Blanco","6","800","1.56"
"Rio Grande do Sul","Femenino","49","Blanco","15","3500","1.67"
"Sao Paulo","Femenino","64","Blanco","15","10000","1.7"
"Sao Paulo","Masculino","49","Blanco","7","1200","1.76"
"Roraima","Femenino","43","Blanco","0","120","1.62"
"Parana","Femenino","37","Blanco","11","830","1.72"
"Sao Paulo","Femenino","24","Pardo","11","1100","1.75"
"Minas Gerais","Femenino","37","Blanco","4","788","1.77"
"Minas Gerais","Masculino","56","Blanco","4","1182","1.71"
"Ceara","Femenino","54","Pardo","3","900","1.79"
"Para","Masculino","37","Pardo","11","850","1.71"
"Minas Gerais","Masculino","40","Pardo","11","788","1.66"
"Sao Paulo","Masculino","33","Blanco","15","13000","1.67"
"Distrito Federal","Masculino","64","Blanco","11","5000","1.72"
"Rio Grande do Sul","Masculino","50","Blanco","8","800","1.71"
"Ceara","Masculino","55","Blanco","1","120","1.69"
"Paraiba","Masculino","33","Pardo","11","900","1.68"
"Maranhao","Masculino","36","Indigena","2","1100","1.76"
"Minas Gerais","Masculino","45","Blanco","15","3020","1.58"
"Paraiba","Masculino","36","Pardo","11","550","1.73"
"Rondonia","Masculino","33","Blanco","11","1500","1.7"
"Rondonia","Masculino","27","Pardo","5","1500","1.7"
"Ceara","Masculino","27","Pardo","11","1800","1.82"
"Sao Paulo","Masculino","58","Blanco","11","0","1.85"
"Ceara","Masculino","60","Pardo","0","400","1.65"
"Bahia","Femenino","37","Pardo","11","788","1.77"
"Sao Paulo","Masculino","57","Blanco","15","10000","1.73"
"Rio Grande do Sul","Masculino","54","Blanco","11","1500","1.73"
"Santa Catarina","Femenino","36","Blanco","11","1200","1.84"
"Pernambuco","Masculino","37","Pardo","11","1200","1.58"
"Rio Grande do Sul","Femenino","24","Blanco","15","1800","1.75"
"Tocantins","Masculino","23","Pardo","8","3000","1.68"
"Sao Paulo","Masculino","49","Blanco","11","3000","1.77"
"Sao Paulo","Masculino","54","Pardo","5","1300","1.64"
"Minas Gerais","Femenino","45","Pardo","5","1300","1.64"
"Sao Paulo","Femenino","25","Pardo","11","920","1.7"
"Rio Grande do Sul","Masculino","43","Blanco","8","1500","1.57"
"Parana","Masculino","28","Blanco","11","1070","1.77"
"Distrito Federal","Masculino","25","Blanco","13","2800","1.77"
"Rio Grande do Sul","Masculino","34","Pardo","14","2500","1.71"
"Espirito Santo","Masculino","35","Blanco","11","12000","1.77"
" Goias","Masculino","29","Pardo","11","2500","1.76"
"Pernambuco","Femenino","49","Pardo","8","400","1.67"
"Rio de Janeiro","Masculino","45","Pardo","5","1100","1.8"
"Sao Paulo","Masculino","49","Pardo","7","3000","1.82"
"Sao Paulo","Masculino","23","Blanco","8","2000","1.63"
"Sao Paulo","Masculino","63","Blanco","15","10000","1.73"
"Rio Grande do Sul","Femenino","58","Blanco","15","6000","1.7"
"Sergipe","Masculino","35","Pardo","5","950","1.71"
"Santa Catarina","Masculino","51","Blanco","15","5000","1.85"
"Minas Gerais","Femenino","49","Blanco","15","5000","1.63"
"Paraiba","Masculino","57","Pardo","0","380","1.73"
"Rondonia","Masculino","39","Pardo","3","688","1.84"
"Rio Grande do Sul","Masculino","54","Blanco","7","1500","1.76"
"Espirito Santo","Masculino","31","Pardo","14","5000","1.81"
"Sao Paulo","Femenino","43","Blanco","8","788","1.68"
"Para","Masculino","49","Pardo","10","2800","1.69"
"Sergipe","Masculino","35","Pardo","10","1400","1.78"
